file	title	first_subheading	hint
docs/specs/SPX_AI_COACH_INTELLIGENCE_AND_UX_CLARITY_PRODUCTION_SPEC_2026-02-19.md	SPX AI Coach Intelligence + UX Clarity Production Spec	1. Executive Decisions	1. No broker order placement integration in this phase.
docs/specs/SPX_AI_COACH_TICK_LEVEL_ROLLOUT_PLAN_2026-02-17.md	SPX + AI Coach Tick-Level Rollout Plan	1. Current State (as implemented)	## Phase 1: Tick Ingest Foundation (Backend)
docs/specs/SPX_AI_COACH_UX_MODERNIZATION_PRODUCTION_SPEC_2026-02-19.md	SPX AI Coach UX Modernization Production Spec	1. Executive Decisions	- `in_trade`: Coach panel pinned directly under in-trade summary; critical alert strip near header if present.
docs/specs/SPX_CALIBRATION_AGENT_PROMPTS_2026-02-24.md	SPX Calibration Tuning — Agent Session Prompts	PHASE 1: Stop-Loss Heat Analysis Script (Workstream 1)	**Usage:** Each section below is a standalone prompt to paste into a fresh Claude Code session. Never carry one phase into the next session. Each session starts clean.
docs/specs/SPX_CALIBRATION_BASELINE_2026-02-24.md	SPX Calibration Baseline (2026-02-24)	1) Backtest Results (Pre-Tuning)	### `git status`
docs/specs/SPX_CALIBRATION_TUNING_DEV_SPEC_2026-02-24.md	SPX Command Center Calibration Tuning — Development Specification	Executive Summary	**Status:** Draft — Pending Multi-Agent Review
docs/specs/SPX_COMMAND_CENTER_AUTONOMOUS_PROD_SPEC_2026-02-19.md	SPX Command Center Autonomous Production Spec	1. Objective	## 1. Objective
docs/specs/SPX_COMMAND_CENTER_DEV_SPEC.docx	N/A	N/A	N/A
docs/specs/SPX_COMMAND_CENTER_DEV_SPEC.md	N/A	N/A	  Status          Spec Complete --- Ready for Implementation
docs/specs/SPX_COMMAND_CENTER_GOLD_STANDARD_CONFIG_2026-02-22.md	SPX Command Center Gold Standard Configuration	Scope	Status: Active baseline for SPX setup detection, backtest, and optimizer safety gates.
docs/specs/SPX_COMMAND_CENTER_MASTER_AUDIT_2026-02-26.md	SPX Command Center — Master System Audit	Executive Summary	**Status:** All 10 audits complete. Implementation pending.
docs/specs/SPX_COMMAND_CENTER_OPTIMIZER_EXECUTION_2026-02-21.md	SPX Command Center Optimizer Execution (Spec-Driven)	1. Objective	## 1. Objective
