file	title	verdict_hint	validation_hint
docs/specs/SPX_COMMAND_CENTER_PHASE0_BASELINE_2026-02-20.md	SPX Command Center Phase 0 Baseline Report	## 2. Baseline Outcome	pnpm exec playwright test e2e/spx-command-palette.spec.ts e2e/spx-command-center.spec.ts e2e/spx-coach-messages.spec.ts e2e/spx-setup-interaction.spec.ts --project=chromium --workers=1
docs/specs/SPX_COMMAND_CENTER_PHASE10_SLICE_P10-S1_2026-02-21.md	SPX Command Center Phase 10 Slice Report	Status: Done	5. Feature-flag lifecycle metadata catalog + completeness validation.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S10_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S10	Executed and passed:	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S11_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S11	Scope: Failure attribution, trend-family optimization, ORB flow-quality gate, execution hardening, and promotion guardrails.	Scope: Failure attribution, trend-family optimization, ORB flow-quality gate, execution hardening, and promotion guardrails.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S1_2026-02-21.md	SPX Command Center Phase 11 - Slice P11-S1	Result (2026-02-16 to 2026-02-20):	3. `/Users/natekahl/ITM-gd/backend/src/services/setupDetector/tradeBuilder.ts`
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S2_2026-02-21.md	SPX Command Center Phase 11 - Slice P11-S2	4. `failure rate=66.67%`	### 2) Fade-specific quality gate
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S3_2026-02-21.md	SPX Command Center Phase 11 - Slice P11-S3	Result (actionable-only default):	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S4_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S4	Added Wilson 95% confidence intervals for T1/T2/failure rates:	2. Validation promotion compares conservative objective versus baseline.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S5_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S5	1. Added runner leg accounting for `t1_before_stop` outcomes.	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S6_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S6	Executed and passed:	Scope: Setup-specific SL/TP policy for fade runners, mean-reversion target retune, and strict Massive replay validation.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S7_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S7	4. Historical reconstruction now passes per-bar trend strength for deterministic replay parity.	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S8_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S8	Executed and passed:	Scope: Win-rate lift through setup-family gating refinement, persistent optimizer pauses, and validation replay.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S9_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S9	3. Set `includePausedSetups=true` in `/Users/natekahl/ITM-gd/backend/src/services/spx/optimizer.ts` (`loadOutcomeOverridesFromBacktest`).	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S1_2026-02-22.md	SPX Command Center Phase 12 - Slice P12-S1	Executed and passed:	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S2_2026-02-22.md	SPX Command Center Phase 12 Slice P12-S2 (2026-02-22)	N/A	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S3_2026-02-22.md	SPX Command Center Phase 12 Slice P12-S3 (2026-02-22)	N/A	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S4_2026-02-22.md	SPX Command Center Phase 12 Slice P12-S4 (2026-02-22)	Implement fail-closed nightly optimizer quality gates and database/query optimizations so nightly optimization only promotes from high-fidelity Massive-driven actuals and scales safely for larger historical ranges.	Implement fail-closed nightly optimizer quality gates and database/query optimizations so nightly optimization only promotes from high-fidelity Massive-driven actuals and scales safely for larger historical ranges.
